sex,order,subj,agem,experiment,hab1,hab2,hab3,hab4,hab5,hab6,hab7,hab8,hab9,hab10,hab11,hab12,test1,test2,test3,test4,test5,test6,high1,low1,high2,low2,high3,low3,n_hab,avg_hab,total_hab,sumhab123,sumhab321,high_avg,low_avg,raw_diff,ineff_prop1,ineff_prop2,ineff_prop3,pref,high_prop_avg,low_prop_avg,comments
f,low,E1_1,6.3,Exp.1,60,58.62,23.27,16.96,57.94,33.17,34.34,23.72,11.84,,,,7.15,22.29,5.88,10.55,5.03,7.39,22.29,7.15,10.55,5.88,7.39,5.03,9,35.54,319.86,141.89,69.9,13.41,6.02,7.39,0.757133152,0.642118077,0.595008052,high,0.664753093,0.335246907,
m,low,E1_10,5.6,Exp.1,60,10.89,41.29,20.7,7.23,7.93,,,,,,,31.44,39.73,7.01,6.02,22.4,23.24,39.73,31.44,6.02,7.01,23.24,22.4,6,24.673,148.04,112.18,35.86,22.997,20.283,2.713,0.558240832,0.462010744,0.509202454,high,0.50981801,0.49018199,
m,high,E1_11,6.033,Exp.1,60,60,60,60,25.95,24.05,9.59,,,,,,53.52,36.5,60,5.08,NA3.71,NA2.41,53.52,36.5,60,5.08,NA3.71,NA2.41,7,42.799,299.59,180,59.59,56.76,20.79,35.97,0.594534548,0.921942225,NA,high,0.758238386,0.241761614,insufficient looking to test 6
f,high,E1_12,6,Exp.1,60,60,25.44,20.82,22,20.72,,,,,,,33.67,60,46.45,25.72,17.75,11.25,33.67,60,46.45,25.72,17.75,11.25,6,34.83,208.98,145.44,63.54,32.623,32.323,0.3,0.3594534,0.643619232,0.612068966,high,0.538380533,0.461619467,
f,high,E1_13,6.233,Exp.1,60,60,45.85,46.28,11.6,13.08,,,,,,,9.36,8.48,4.5,4.92,NA4.83,NA8.36,9.36,8.48,4.5,4.92,NA4.83,NA8.36,6,39.468,236.81,165.85,70.96,6.93,6.7,0.23,0.524663677,0.477707006,NA,high,0.501185342,0.498814658,insufficient looking to test 5
f,high,E1_14,6.067,Exp.1,60,41.49,5.94,13.46,5.24,13.37,,,,,,,26.21,16.02,NA2.59,NA4.93,NA2.29,NA3.34,26.21,16.02,NA2.59,NA4.93,NA2.29,NA3.34,6,23.25,139.5,107.43,32.07,26.21,16.02,10.19,0.620648828,NA,NA,high,0.620648828,0.379351172,
m,high,E1_15,6.2,Exp.1,60,60,60,60,60,60,60,9.01,4.81,,,,NA1.35,NA2.31,6.9,8.59,16.75,18.24,NA1.35,NA2.31,6.9,8.59,16.75,18.24,9,48.202,433.82,180,73.82,11.825,13.415,-1.59,NA,0.445448677,0.478708202,low,0.462078439,0.537921561,"did not attend at test 1, did not look long enough to see leap at test 2"
f,high,E1_16,6.133,Exp.1,60,60,24.23,11.69,31.24,8.81,,,,,,,5.68,8.71,5.66,5.42,5.73,5.32,5.68,8.71,5.66,5.42,5.73,5.32,6,32.662,195.97,144.23,51.74,5.69,6.483,-0.793,0.394718555,0.510830325,0.518552036,low,0.474700305,0.525299695,
m,high,E1_17,5.667,Exp.1,60,60,60,60,60,60,10.12,44.29,5.85,,,,9.88,5.18,5.08,4.91,4.92,4.87,9.88,5.18,5.08,4.91,4.92,4.87,9,46.696,420.26,180,60.26,6.627,4.987,1.64,0.656042497,0.508508509,0.502553626,high,0.555701544,0.444298456,
m,high,E1_18,6.267,Exp.1,60,60,5.18,59.01,10.83,5.45,10.61,,,,,,38.14,10.76,9.86,5.76,19.21,14.01,38.14,10.76,9.86,5.76,19.21,14.01,7,30.154,211.08,125.18,26.89,22.403,10.177,12.227,0.7799591,0.631241997,0.578266105,high,0.663155734,0.336844266,
